16384,1,2,7,7,977,3244,377,257,3017,1,2,3,1,3,3,0,1,2,3,4,2,4,4,0,1,3,0,1,1,2,4,2,2
8192,1,2,7,7,977,3268,785,761,1097,1,2,3,4,1,3,0,1,2,3,4,2,4,4,0,1,3,0,1,1,2,4,2,2
2048,1,2,7,7,2297,250,2897,977,785,1,2,4,1,2,4,0,1,2,3,4,2,4,4,0,1,3,0,1,1,2,4,2,2
4096,1,2,7,7,811,2177,3244,785,91,1,2,3,4,3,4,0,3,4,0,4,0,4,0,1,2,2,2,2,2,3,2,3,3
16384,1,2,7,7,2897,41,3268,2177,3017,0,1,2,3,2,2,1,2,3,4,1,3,4,1,1,2,3,3,3,0,2,4,0,2
4096,1,3,7,7,41,811,3017,2524,2932,0,1,2,4,1,4,0,1,2,1,2,1,2,2,0,3,4,0,4,2,3,4,2,3
4096,1,2,7,7,811,2177,3244,785,91,1,2,3,4,3,4,0,3,4,0,4,0,4,0,1,2,2,2,2,2,3,2,3,3
16384,0,3,7,7,3017,977,412,412,370,1,2,3,4,2,2,0,1,4,0,1,4,1,1,1,2,3,4,1,0,2,3,4,0
4096,1,2,7,7,2177,3052,34,257,1132,0,1,2,3,2,2,0,1,2,4,1,4,1,1,0,1,2,3,4,1,2,4,4,4
4096,1,3,7,7,34,257,2548,2897,2290,0,1,2,4,1,1,0,1,2,4,0,2,4,0,0,1,2,4,2,0,2,3,4,2
